Team,Pos,No,Name,Height,Weight,DOB (YYYY-MM-DD),From
Miami Heat,F,55,"Robinson, Duncan",6 ft 7 in (2.01 m),215 lb (98 kg),1994–04–22,Michigan
Miami Heat,F,30,"Silva, Chris",6 ft 8 in (2.03 m),234 lb (106 kg),1996–09–19,South Carolina
Miami Heat,G,2,"Vincent, Gabe (TW)",6 ft 3 in (1.91 m),200 lb (91 kg),1996–06–14,UC Santa Barbara
Orlando Magic,F,2,"Aminu, Al-Farouq ",6 ft 8 in (2.03 m),220 lb (100 kg),1990–09–21,Wake Forest
Orlando Magic,G,14,"Augustin, D. J. (FA)",5 ft 11 in (1.80 m),183 lb (83 kg),1987–11–10,Texas
Orlando Magic,C,5,"Bamba, Mohamed",7 ft 0 in (2.13 m),231 lb (105 kg),1998–05–12,Texas
Orlando Magic,C,24,"Birch, Khem",6 ft 9 in (2.06 m),220 lb (100 kg),1992–09–28,UNLV
Orlando Magic,G,7,"Carter-Williams, Michael (FA)",6 ft 5 in (1.96 m),190 lb (86 kg),1991–10–10,Syracuse
Orlando Magic,F,12,"Clark, Gary (FA)",6 ft 6 in (1.98 m),225 lb (102 kg),1994–11–16,Cincinnati
Orlando Magic,F,11,"Ennis, James",6 ft 6 in (1.98 m),215 lb (98 kg),1990–07–01,Long Beach State
Orlando Magic,G/F,10,"Fournier, Evan",6 ft 7 in (2.01 m),205 lb (93 kg),1992–10–29,France
Orlando Magic,G/F,35,"Frazier, Melvin",6 ft 5 in (1.96 m),215 lb (98 kg),1996–08–30,Tulane
Orlando Magic,G,20,"Fultz, Markelle",6 ft 3 in (1.91 m),209 lb (95 kg),1998–05–29,Washington
Orlando Magic,F,0,"Gordon, Aaron",6 ft 8 in (2.03 m),235 lb (107 kg),1995–09–16,Arizona
Orlando Magic,F,1,"Isaac, Jonathan ",6 ft 11 in (2.11 m),230 lb (104 kg),1997–10–03,Florida State
Orlando Magic,F,25,"Iwundu, Wes (FA)",6 ft 6 in (1.98 m),195 lb (88 kg),1994–12–20,Kansas State
Orlando Magic,G,13,"Johnson, B. J. (TW, FA)",6 ft 7 in (2.01 m),200 lb (91 kg),1995–12–21,La Salle
Orlando Magic,F,23,"Law, Vic (TW, FA)",6 ft 7 in (2.01 m),200 lb (91 kg),1995–12–19,Northwestern
Orlando Magic,G/F,31,"Ross, Terrence",6 ft 6 in (1.98 m),206 lb (93 kg),1991–02–05,Washington
Orlando Magic,C,9,"Vučević, Nikola",6 ft 11 in (2.11 m),260 lb (118 kg),1990–10–24,Southern California
Washington Wizards,G,3,"Beal, Bradley ",6 ft 3 in (1.91 m),207 lb (94 kg),1993–06–28,Florida
Washington Wizards,F,42,"Bertāns, Dāvis (FA)",6 ft 10 in (2.08 m),225 lb (102 kg),1992–11–12,Latvia
Washington Wizards,G,17,"Bonga, Isaac",6 ft 8 in (2.03 m),180 lb (82 kg),1999–11–08,Germany
Washington Wizards,G/F,6,"Brown, Troy",6 ft 6 in (1.98 m),215 lb (98 kg),1999–07–28,Oregon
Washington Wizards,F/C,13,"Bryant, Thomas",6 ft 10 in (2.08 m),248 lb (112 kg),1997–07–31,Indiana
Washington Wizards,G,22,"Grant, Jerian (FA)",6 ft 4 in (1.93 m),198 lb (90 kg),1997–07–31,Notre Dame
Washington Wizards,F,8,"Hachimura, Rui",6 ft 8 in (2.03 m),230 lb (104 kg),1998–02–08,Gonzaga
Washington Wizards,C,28,"Mahinmi, Ian (FA)",6 ft 11 in (2.11 m),262 lb (119 kg),1986–11–05,France
Washington Wizards,G,24,"Mathews, Garrison (TW, FA)",6 ft 5 in (1.96 m),215 lb (98 kg),1996–10–24,Lipscomb
Washington Wizards,G,5,"Napier, Shabazz (FA)",6 ft 0 in (1.83 m),175 lb (79 kg),1991–07–14,Connecticut
Washington Wizards,F/C,18,"Pasečņiks, Anžejs",7 ft 2 in (2.18 m),229 lb (104 kg),1995–12–20,Latvia
Washington Wizards,G,20,"Payton, Gary (FA)",6 ft 3 in (1.91 m),195 lb (88 kg),1992–12–01,Oregon State
Washington Wizards,G,12,"Robinson, Jerome",6 ft 4 in (1.93 m),190 lb (86 kg),1997–02–22,Boston College
Washington Wizards,G/F,1,"Schofield, Admiral",6 ft 5 in (1.96 m),241 lb (109 kg),1997–03–30,Tennessee
Washington Wizards,G,14,"Smith, Ish",6 ft 0 in (1.83 m),175 lb (79 kg),1988–07–05,Wake Forest
Washington Wizards,F,7,"Uthoff, Jarrod (FA)",6 ft 9 in (2.06 m),220 lb (100 kg),1993–05–19,Iowa
Washington Wizards,F/C,21,"Wagner, Moritz",6 ft 11 in (2.11 m),245 lb (111 kg),1997–04–26,Michigan
Washington Wizards,G,2,"Wall, John ",6 ft 4 in (1.93 m),210 lb (95 kg),1990–09–06,Kentucky
Denver Nuggets,G,5,"Barton, Will",6 ft 5 in (1.96 m),181 lb (82 kg),1991–01–06,Memphis
Denver Nuggets,F,6,"Bates-Diop, Keita",6 ft 8 in (2.03 m),229 lb (104 kg),1996–01–23,Ohio State
Denver Nuggets,F/C,10,"Bol, Bol (TW)",7 ft 2 in (2.18 m),220 lb (100 kg),1999–11–16,Oregon
Denver Nuggets,F,31,"Čančar, Vlatko",6 ft 8 in (2.03 m),236 lb (107 kg),1997–04–10,Slovenia
Denver Nuggets,F,25,"Cook, Tyler (TW)",6 ft 8 in (2.03 m),255 lb (116 kg),1997–09–23,Iowa
Denver Nuggets,F,3,"Craig, Torrey (FA)",6 ft 7 in (2.01 m),221 lb (100 kg),1990–12–19,USC Upstate
Denver Nuggets,G,30,"Daniels, Troy (FA)",6 ft 4 in (1.93 m),200 lb (91 kg),1991–06–15,Virginia Commonwealth
Denver Nuggets,G/F,35,"Dozier, PJ",6 ft 6 in (1.98 m),205 lb (93 kg),1996–10–25,South Carolina
Denver Nuggets,F,9,"Grant, Jerami",6 ft 8 in (2.03 m),210 lb (95 kg),1994–03–12,Syracuse
Denver Nuggets,G,14,"Harris, Gary",6 ft 4 in (1.93 m),210 lb (95 kg),1994–09–14,Michigan State
Denver Nuggets,C,15,"Jokić, Nikola (C)",7 ft 0 in (2.13 m),284 lb (129 kg),1995–02–19,Serbia
Denver Nuggets,F,4,"Millsap, Paul (FA)",6 ft 7 in (2.01 m),257 lb (117 kg),1985–02–10,Louisiana Tech
Denver Nuggets,G,11,"Morris, Monté",6 ft 2 in (1.88 m),183 lb (83 kg),1995–06–27,Iowa State
Denver Nuggets,G,27,"Murray, Jamal",6 ft 4 in (1.93 m),215 lb (98 kg),1997–02–23,Kentucky
Denver Nuggets,F/C,7,"Plumlee, Mason (FA)",6 ft 11 in (2.11 m),254 lb (115 kg),1990–03–05,Duke
Denver Nuggets,F,1,"Porter, Michael",6 ft 10 in (2.08 m),218 lb (99 kg),1998–06–29,Missouri
Denver Nuggets,F,32,"Vonleh, Noah (FA)",6 ft 10 in (2.08 m),257 lb (117 kg),1995–08–24,Indiana
Minnesota Timberwolves,G,5,"Beasley, Malik",6 ft 4 in (1.93 m),187 lb (85 kg),1996–11–26,Florida State
Minnesota Timberwolves,G/F,23,"Culver, Jarrett",6 ft 6 in (1.98 m),195 lb (88 kg),1999–02–20,Texas Tech
Minnesota Timberwolves,G/F,12,"Evans, Jacob",6 ft 4 in (1.93 m),210 lb (95 kg),1997–06–18,Cincinnati
Minnesota Timberwolves,F,41,"Hernangómez, Juan",6 ft 9 in (2.06 m),214 lb (97 kg),1995–09–28,Spain
Minnesota Timberwolves,F,16,"Johnson, James",6 ft 7 in (2.01 m),240 lb (109 kg),1987–02–20,Wake Forest
Minnesota Timberwolves,F,10,"Layman, Jake",6 ft 8 in (2.03 m),209 lb (95 kg),1994–03–07,Maryland
Minnesota Timberwolves,F,30,"Martin, Kelan (TW)",6 ft 5 in (1.96 m),230 lb (104 kg),1995–08–03,Butler
Minnesota Timberwolves,G,6,"McLaughlin, Jordan (TW)",5 ft 11 in (1.80 m),185 lb (84 kg),1996–04–09,Southern California
Minnesota Timberwolves,G,4,"Nowell, Jaylen",6 ft 4 in (1.93 m),201 lb (91 kg),1999–07–09,Washington
Minnesota Timberwolves,G,20,"Okogie, Josh",6 ft 4 in (1.93 m),213 lb (97 kg),1998–09–01,Georgia Tech
Minnesota Timberwolves,F/C,11,"Reid, Naz",6 ft 9 in (2.06 m),264 lb (120 kg),1999–08–26,LSU
Minnesota Timberwolves,G,0,"Russell, D'Angelo",6 ft 4 in (1.93 m),193 lb (88 kg),1996–02–23,Ohio State
Minnesota Timberwolves,F,14,"Spellman, Omari",6 ft 8 in (2.03 m),245 lb (111 kg),1997–07–21,Villanova
Minnesota Timberwolves,F/C,32,"Towns, Karl-Anthony",6 ft 11 in (2.11 m),248 lb (112 kg),1995–11–15,Kentucky
Minnesota Timberwolves,G/F,1,"Turner, Evan",6 ft 6 in (1.98 m),220 lb (100 kg),1988–06–10,Ohio State
Minnesota Timberwolves,F,3,"Vanderbilt, Jarred",6 ft 9 in (2.06 m),214 lb (97 kg),1999–04–03,Kentucky
Oklahoma City Thunder,C,12,"Adams, Steven",6 ft 11 in (2.11 m),265 lb (120 kg),1993–07–20,Pittsburgh
Oklahoma City Thunder,G/F,7,"Bazley, Darius",6 ft 8 in (2.03 m),208 lb (94 kg),2000–06–12,Princeton HS (OH)
Oklahoma City Thunder,G/F,30,"Burton, Deonte",6 ft 4 in (1.93 m),240 lb (109 kg),1994–01–31,Iowa State
Oklahoma City Thunder,G,6,"Diallo, Hamidou",6 ft 5 in (1.96 m),202 lb (92 kg),1998–07–31,Kentucky
Oklahoma City Thunder,G,5,"Dort, Luguentz",6 ft 3 in (1.91 m),215 lb (98 kg),1999–04–19,Arizona State
Oklahoma City Thunder,G,23,"Ferguson, Terrance",6 ft 6 in (1.98 m),190 lb (86 kg),1998–05–17,Advanced Prep International (TX)
Oklahoma City Thunder,F,8,"Gallinari, Danilo (FA)",6 ft 10 in (2.08 m),233 lb (106 kg),1988–08–08,Italy
Oklahoma City Thunder,G/F,2,"Gilgeous-Alexander, Shai",6 ft 5 in (1.96 m),180 lb (82 kg),1998–07–12,Kentucky
Oklahoma City Thunder,G,14,"Hall, Devon (TW)",6 ft 5 in (1.96 m),215 lb (98 kg),1995–07–07,Virginia
Oklahoma City Thunder,F/C,33,"Muscala, Mike",6 ft 10 in (2.08 m),240 lb (109 kg),1991–07–01,Bucknell
Oklahoma City Thunder,F,11,"Nader, Abdel",6 ft 5 in (1.96 m),225 lb (102 kg),1993–09–25,Iowa State
Oklahoma City Thunder,F/C,9,"Noel, Nerlens (FA)",6 ft 10 in (2.08 m),220 lb (100 kg),1994–04–10,Kentucky
Oklahoma City Thunder,G,3,"Paul, Chris",6 ft 1 in (1.85 m),175 lb (79 kg),1985–05–06,Wake Forest
Oklahoma City Thunder,G/F,21,"Roberson, André (FA)",6 ft 7 in (2.01 m),210 lb (95 kg),1991–12–04,Colorado
Oklahoma City Thunder,F,22,"Roby, Isaiah ",6 ft 8 in (2.03 m),230 lb (104 kg),1998–02–03,Nebraska
Oklahoma City Thunder,G,17,"Schröder, Dennis",6 ft 1 in (1.85 m),172 lb (78 kg),1993–09–15,Germany
Portland Trail Blazers,G,10,"Adams, Jaylen (FA)",6 ft 0 in (1.83 m),225 lb (102 kg),1996–05–04,St. Bonaventure
Portland Trail Blazers,F,0,"Anthony, Carmelo (FA)",6 ft 8 in (2.03 m),240 lb (109 kg),1984–05–29,Syracuse
Portland Trail Blazers,F,8,"Ariza, Trevor",6 ft 8 in (2.03 m),215 lb (98 kg),1985–06–30,UCLA
Portland Trail Blazers,C,4,"Brown, Moses (TW, FA)",7 ft 1 in (2.16 m),245 lb (111 kg),1999–10–13,UCLA
Portland Trail Blazers,F/C,33,"Collins, Zach",7 ft 0 in (2.13 m),235 lb (107 kg),1997–11–19,Gonzaga
Portland Trail Blazers,F,35,"Gabriel, Wenyen (FA)",6 ft 9 in (2.06 m),205 lb (93 kg),1997–03–26,Kentucky
Portland Trail Blazers,F,44,"Hezonja, Mario",6 ft 8 in (2.03 m),225 lb (102 kg),1995–02–25,Croatia
Portland Trail Blazers,F,6,"Hoard, Jaylen (TW, FA)",6 ft 8 in (2.03 m),215 lb (98 kg),1999–03–30,Wake Forest
Portland Trail Blazers,F,5,"Hood, Rodney ",6 ft 8 in (2.03 m),206 lb (93 kg),1992–10–20,Duke
Portland Trail Blazers,G,0,"Lillard, Damian",6 ft 3 in (1.91 m),195 lb (88 kg),1990–07–15,Weber State
Portland Trail Blazers,F,9,"Little, Nassir",6 ft 6 in (1.98 m),220 lb (100 kg),2000–02–11,North Carolina
Portland Trail Blazers,G,3,"McCollum, CJ",6 ft 3 in (1.91 m),190 lb (86 kg),1991–09–19,Lehigh
Portland Trail Blazers,C,27,"Nurkić, Jusuf",7 ft 0 in (2.13 m),275 lb (125 kg),1994–08–23,Bosnia and Herzegovina
Portland Trail Blazers,G,1,"Simons, Anfernee",6 ft 4 in (1.93 m),185 lb (84 kg),1999–06–08,IMG Academy (FL)
Portland Trail Blazers,F,50,"Swanigan, Caleb (FA)",6 ft 9 in (2.06 m),260 lb (118 kg),1997–04–18,Purdue
Portland Trail Blazers,G,2,"Trent, Gary",6 ft 6 in (1.98 m),205 lb (93 kg),1999–01–18,Duke
Portland Trail Blazers,C,21,"Whiteside, Hassan (FA)",7 ft 0 in (2.13 m),265 lb (120 kg),1989–06–13,Marshall
Utah Jazz,F,44,"Bogdanović, Bojan ",6 ft 8 in (2.03 m),226 lb (103 kg),1989–04–18,Croatia
Utah Jazz,F/C,13,"Bradley, Tony",6 ft 10 in (2.08 m),248 lb (112 kg),1998–01–08,North Carolina
Utah Jazz,F,5,"Brantley, Jarrell (TW, FA)",6 ft 5 in (1.96 m),250 lb (113 kg),1996–06–07,College of Charleston
Utah Jazz,G,0,"Clarkson, Jordan (FA)",6 ft 4 in (1.93 m),194 lb (88 kg),1992–06–07,Missouri
Utah Jazz,G,10,"Conley, Mike",6 ft 1 in (1.85 m),175 lb (79 kg),1987–10–11,Ohio State
Utah Jazz,F/C,17,"Davis, Ed",6 ft 9 in (2.06 m),218 lb (99 kg),1989–06–05,North Carolina
Utah Jazz,C,27,"Gobert, Rudy",7 ft 1 in (2.16 m),258 lb (117 kg),1992–06–26,France
Utah Jazz,G/F,2,"Ingles, Joe",6 ft 7 in (2.01 m),220 lb (100 kg),1987–10–02,Australia
Utah Jazz,G,45,"Mitchell, Donovan",6 ft 1 in (1.85 m),215 lb (98 kg),1996–09–07,Louisville
Utah Jazz,F,16,"Morgan, Juwan (FA)",6 ft 7 in (2.01 m),232 lb (105 kg),1997–04–17,Indiana
Utah Jazz,G,15,"Mudiay, Emmanuel (FA)",6 ft 3 in (1.91 m),200 lb (91 kg),1996–03–05,Prime Prep Academy (TX)
Utah Jazz,F,31,"Niang, Georges",6 ft 7 in (2.01 m),230 lb (104 kg),1993–06–17,Iowa State
Utah Jazz,F,23,"O'Neale, Royce",6 ft 4 in (1.93 m),226 lb (103 kg),1993–06–05,Baylor
Utah Jazz,G/F,81,"Oni, Miye",6 ft 5 in (1.96 m),206 lb (93 kg),1997–08–04,Yale
Utah Jazz,G,6,"Tucker, Rayjon",6 ft 3 in (1.91 m),209 lb (95 kg),1997–09–24,Little Rock
Utah Jazz,G,0,"Williams-Goss, Nigel",6 ft 2 in (1.88 m),190 lb (86 kg),1994–09–16,Gonzaga
Utah Jazz,G,3,"Wright-Foreman, Justin (TW, FA)",6 ft 0 in (1.83 m),190 lb (86 kg),1997–10–27,Hofstra
Golden State Warriors,G,12,"Bowman, Ky",6 ft 1 in (1.85 m),187 lb (85 kg),1997–06–17,Boston College
Golden State Warriors,F,32,"Chriss, Marquese",6 ft 9 in (2.06 m),240 lb (109 kg),1997–07–02,Washington
Golden State Warriors,G,30,"Curry, Stephen (C)",6 ft 3 in (1.91 m),185 lb (84 kg),1988–03–14,Davidson
Golden State Warriors,F,23,"Green, Draymond",6 ft 6 in (1.98 m),230 lb (104 kg),1990–03–04,Michigan State
Golden State Warriors,G/F,1,"Lee, Damion",6 ft 5 in (1.96 m),210 lb (95 kg),1992–10–21,Louisville
Golden State Warriors,F,5,"Looney, Kevon ",6 ft 9 in (2.06 m),222 lb (101 kg),1996–02–06,UCLA
Golden State Warriors,G,15,"Mulder, Mychal",6 ft 3 in (1.91 m),184 lb (83 kg),1994–06–14,Kentucky
Golden State Warriors,F,7,"Paschall, Eric",6 ft 6 in (1.98 m),255 lb (116 kg),1996–11–04,Villanova
Golden State Warriors,G,3,"Poole, Jordan",6 ft 4 in (1.93 m),194 lb (88 kg),1999–06–19,Michigan
Golden State Warriors,F,6,"Smailagić, Alen",6 ft 10 in (2.08 m),215 lb (98 kg),2000–08–18,Serbia
Golden State Warriors,G,11,"Thompson, Klay ",6 ft 6 in (1.98 m),215 lb (98 kg),1990–02–08,Washington State
Golden State Warriors,F,95,"Toscano-Anderson, Juan",6 ft 6 in (1.98 m),209 lb (95 kg),1993–04–10,Marquette
Golden State Warriors,F,22,"Wiggins, Andrew",6 ft 7 in (2.01 m),197 lb (89 kg),1995–02–23,Kansas
Los Angeles Clippers,G,21,"Beverley, Patrick",6 ft 1 in (1.85 m),180 lb (82 kg),1988–07–12,Arkansas
Los Angeles Clippers,G/F,7,"Coffey, Amir (TW)",6 ft 7 in (2.01 m),210 lb (95 kg),1997–06–17,Minnesota
Los Angeles Clippers,F,13,"George, Paul",6 ft 8 in (2.03 m),220 lb (100 kg),1990–05–02,Fresno State
Los Angeles Clippers,F/C,4,"Green, JaMychal",6 ft 8 in (2.03 m),227 lb (103 kg),1990–06–21,Alabama
Los Angeles Clippers,F/C,5,"Harrell, Montrezl (FA)",6 ft 7 in (2.01 m),240 lb (109 kg),1994–01–26,Louisville
Los Angeles Clippers,G,1,"Jackson, Reggie (FA)",6 ft 3 in (1.91 m),208 lb (94 kg),1990–04–16,Boston College
Los Angeles Clippers,F/C,25,"Kabengele, Mfiondu",6 ft 9 in (2.06 m),250 lb (113 kg),1997–08–14,Florida State
Los Angeles Clippers,F,2,"Leonard, Kawhi",6 ft 7 in (2.01 m),225 lb (102 kg),1991–06–29,San Diego State
Los Angeles Clippers,G/F,14,"Mann, Terance",6 ft 5 in (1.96 m),215 lb (98 kg),1996–10–18,Florida State
Los Angeles Clippers,G,19,"McGruder, Rodney",6 ft 4 in (1.93 m),205 lb (93 kg),1991–07–29,Kansas State
Los Angeles Clippers,F,31,"Morris, Marcus (FA)",6 ft 8 in (2.03 m),218 lb (99 kg),1989–09–02,Kansas
Los Angeles Clippers,F,15,"Motley, Johnathan (TW, FA)",6 ft 8 in (2.03 m),230 lb (104 kg),1995–05–04,Baylor
Los Angeles Clippers,F/C,55,"Noah, Joakim",6 ft 11 in (2.11 m),232 lb (105 kg),1985–02–25,Florida
Los Angeles Clippers,F,54,"Patterson, Patrick (FA)",6 ft 8 in (2.03 m),235 lb (107 kg),1989–03–14,Kentucky
Los Angeles Clippers,G,20,"Shamet, Landry ",6 ft 4 in (1.93 m),190 lb (86 kg),1997–03–13,Wichita State
Los Angeles Clippers,G,23,"Williams, Lou",6 ft 1 in (1.85 m),175 lb (79 kg),1986–10–27,South Gwinnett HS (GA)
Los Angeles Clippers,C,40,"Zubac, Ivica",7 ft 0 in (2.13 m),240 lb (109 kg),1997–03–18,Croatia
Los Angeles Lakers,F,37,"Antetokounmpo, Kostas (TW)",6 ft 10 in (2.08 m),200 lb (91 kg),1997–11–20,Dayton
Los Angeles Lakers,G,11,"Bradley, Avery (L)",6 ft 3 in (1.91 m),180 lb (82 kg),1990–11–26,Texas
Los Angeles Lakers,F,12,"Cacok, Devontae (TW)",6 ft 8 in (2.03 m),240 lb (109 kg),1996–10–08,UNC Wilmington
Los Angeles Lakers,G,1,"Caldwell-Pope, Kentavious",6 ft 5 in (1.96 m),204 lb (93 kg),1993–02–18,Georgia
Los Angeles Lakers,G,4,"Caruso, Alex",6 ft 5 in (1.96 m),186 lb (84 kg),1994–02–28,Texas A&M
Los Angeles Lakers,G,28,"Cook, Quinn",6 ft 1 in (1.85 m),180 lb (82 kg),1993–03–23,Duke
Los Angeles Lakers,F/C,3,"Davis, Anthony",6 ft 10 in (2.08 m),253 lb (115 kg),1993–03–11,Kentucky
Los Angeles Lakers,F,10,"Dudley, Jared",6 ft 6 in (1.98 m),237 lb (108 kg),1985–07–10,Boston College
Los Angeles Lakers,G/F,14,"Green, Danny",6 ft 6 in (1.98 m),215 lb (98 kg),1987–06–22,North Carolina
Los Angeles Lakers,G,5,"Horton-Tucker, Talen",6 ft 4 in (1.93 m),234 lb (106 kg),2000–11–25,Iowa State
Los Angeles Lakers,C,39,"Howard, Dwight",6 ft 10 in (2.08 m),265 lb (120 kg),1985–12–08,SW Atlanta Academy (GA)
Los Angeles Lakers,F,23,"James, LeBron",6 ft 9 in (2.06 m),250 lb (113 kg),1984–12–30,St. Vincent–St. Mary HS (OH)
Los Angeles Lakers,F,0,"Kuzma, Kyle",6 ft 8 in (2.03 m),221 lb (100 kg),1995–07–24,Utah
Los Angeles Lakers,C,7,"McGee, JaVale",7 ft 0 in (2.13 m),270 lb (122 kg),1988–01–19,Nevada
Los Angeles Lakers,F,88,"Morris, Markieff",6 ft 8 in (2.03 m),245 lb (111 kg),1989–09–02,Kansas
Los Angeles Lakers,G,9,"Rondo, Rajon",6 ft 1 in (1.85 m),180 lb (82 kg),1986–02–22,Kentucky
Los Angeles Lakers,G/F,21,"Smith, J. R.",6 ft 6 in (1.98 m),225 lb (102 kg),1985–09–09,Saint Benedict's Prep (NJ)
Los Angeles Lakers,G,18,"Waiters, Dion",6 ft 3 in (1.91 m),210 lb (95 kg),1991–12–10,Syracuse
Phoenix Suns,C,22,"Ayton, Deandre",6 ft 11 in (2.11 m),250 lb (113 kg),1998–07–23,Arizona
Phoenix Suns,F/C,46,"Baynes, Aron (FA)",6 ft 10 in (2.08 m),260 lb (118 kg),1986–12–09,Washington State
Phoenix Suns,G,1,"Booker, Devin",6 ft 5 in (1.96 m),206 lb (93 kg),1996–10–30,Kentucky
Phoenix Suns,F,25,"Bridges, Mikal",6 ft 6 in (1.98 m),209 lb (95 kg),1996–08–30,Villanova
Phoenix Suns,G,4,"Carter, Jevon (FA)",6 ft 1 in (1.85 m),200 lb (91 kg),1995–09–14,West Virginia
Phoenix Suns,F/C,14,"Diallo, Cheick",6 ft 8 in (2.03 m),219 lb (99 kg),1996–09–13,Kansas
Phoenix Suns,G/F,10,"Jerome, Ty",6 ft 5 in (1.96 m),195 lb (88 kg),1997–07–08,Virginia
Phoenix Suns,F,23,"Johnson, Cameron",6 ft 8 in (2.03 m),210 lb (95 kg),1996–03–03,North Carolina
Phoenix Suns,F/C,8,"Kaminsky, Frank",7 ft 0 in (2.13 m),240 lb (109 kg),1993–04–04,Wisconsin
Phoenix Suns,G,0,"Lecque, Jalen",6 ft 4 in (1.93 m),185 lb (84 kg),2000–06–13,Brewster Academy (NH)
Phoenix Suns,G/F,2,"Okobo, Élie",6 ft 2 in (1.88 m),190 lb (86 kg),1997–10–23,France
Phoenix Suns,G/F,3,"Oubre, Kelly ",6 ft 7 in (2.01 m),203 lb (92 kg),1995–12–09,Kansas
Phoenix Suns,F,41,"Owens, Tariq (TW, FA)",6 ft 10 in (2.08 m),205 lb (93 kg),1995–06–30,Texas Tech
Phoenix Suns,G,15,"Payne, Cameron",6 ft 1 in (1.85 m),183 lb (83 kg),1994–08–08,Murray State
Phoenix Suns,G,11,"Rubio, Ricky",6 ft 3 in (1.91 m),190 lb (86 kg),1990–10–21,Spain
Phoenix Suns,F,20,"Šarić, Dario (FA)",6 ft 10 in (2.08 m),225 lb (102 kg),1994–04–08,Croatia
Sacramento Kings,F,35,"Bagley, Marvin",6 ft 11 in (2.11 m),235 lb (107 kg),1999–03–14,Duke
Sacramento Kings,F,40,"Barnes, Harrison",6 ft 8 in (2.03 m),225 lb (102 kg),1992–05–30,North Carolina
Sacramento Kings,G,26,"Bazemore, Kent",6 ft 5 in (1.96 m),201 lb (91 kg),1989–07–01,Old Dominion
Sacramento Kings,F,88,"Bjelica, Nemanja",6 ft 10 in (2.08 m),234 lb (106 kg),1988–05–09,Serbia
Sacramento Kings,G,8,"Bogdanović, Bogdan",6 ft 6 in (1.98 m),220 lb (100 kg),1992–08–18,Serbia
Sacramento Kings,G/F,13,"Brewer, Corey",6 ft 9 in (2.06 m),186 lb (84 kg),1986–03–05,Florida
Sacramento Kings,G,3,"Ferrell, Yogi",6 ft 0 in (1.83 m),178 lb (81 kg),1993–05–09,Indiana
Sacramento Kings,G,5,"Fox, De'Aaron",6 ft 3 in (1.91 m),185 lb (84 kg),1997–12–20,Kentucky
Sacramento Kings,F/C,20,"Giles, Harry",6 ft 11 in (2.11 m),240 lb (109 kg),1998–04–22,Duke
Sacramento Kings,G,7,"Guy, Kyle (TW)",6 ft 1 in (1.85 m),167 lb (76 kg),1997–08–11,Virginia
Sacramento Kings,G,24,"Hield, Buddy",6 ft 4 in (1.93 m),220 lb (100 kg),1992–12–17,Oklahoma
Sacramento Kings,F,22,"Holmes, Richaun",6 ft 10 in (2.08 m),235 lb (107 kg),1993–10–15,Bowling Green
Sacramento Kings,G/F,10,"James, Justin",6 ft 7 in (2.01 m),190 lb (86 kg),1997–01–24,Wyoming
Sacramento Kings,G/F,19,"Jeffries, DaQuan (TW)",6 ft 5 in (1.96 m),230 lb (104 kg),1997–08–30,Tulsa
Sacramento Kings,G,9,"Joseph, Cory",6 ft 3 in (1.91 m),200 lb (91 kg),1991–08–20,Texas
Sacramento Kings,C,25,"Len, Alex",7 ft 1 in (2.16 m),250 lb (113 kg),1993–06–16,Maryland
Sacramento Kings,F,33,"Parker, Jabari",6 ft 8 in (2.03 m),245 lb (111 kg),1995–05–15,Duke
Dallas Mavericks,G,5,"Barea, J. J. (FA)",5 ft 10 in (1.78 m),180 lb (82 kg),1984–06–26,Northeastern
Dallas Mavericks,G,13,"Brunson, Jalen ",6 ft 1 in (1.85 m),190 lb (86 kg),1996–08–31,Villanova
Dallas Mavericks,G,32,"Burke, Trey (FA)",6 ft 0 in (1.83 m),185 lb (84 kg),1992–11–12,Michigan
Dallas Mavericks,C,33,"Cauley-Stein, Willie",7 ft 0 in (2.13 m),240 lb (109 kg),1993–08–18,Kentucky
Dallas Mavericks,G,3,"Cleveland, Antonius (TW, FA)",6 ft 5 in (1.96 m),195 lb (88 kg),1994–02–02,Southeast Missouri State
Dallas Mavericks,G,30,"Curry, Seth",6 ft 2 in (1.88 m),185 lb (84 kg),1990–08–23,Duke
Dallas Mavericks,G/F,77,"Dončić, Luka",6 ft 7 in (2.01 m),230 lb (104 kg),1999–02–28,Slovenia
Dallas Mavericks,F,10,"Finney-Smith, Dorian",6 ft 7 in (2.01 m),220 lb (100 kg),1993–05–04,Florida
Dallas Mavericks,G/F,11,"Hardaway, Tim",6 ft 5 in (1.96 m),205 lb (93 kg),1992–03–16,Michigan
Dallas Mavericks,F,44,"Jackson, Justin",6 ft 7 in (2.01 m),220 lb (100 kg),1995–03–28,North Carolina
Dallas Mavericks,F,9,"Kidd-Gilchrist, Michael (FA)",6 ft 6 in (1.98 m),232 lb (105 kg),1993–09–26,Kentucky
Dallas Mavericks,F,42,"Kleber, Maxi",6 ft 10 in (2.08 m),240 lb (109 kg),1992–01–29,Germany
Dallas Mavericks,G,1,"Lee, Courtney  (FA)",6 ft 5 in (1.96 m),215 lb (98 kg),1985–10–03,Western Kentucky
Dallas Mavericks,C,51,"Marjanović, Boban",7 ft 4 in (2.24 m),290 lb (132 kg),1988–08–15,Serbia
Dallas Mavericks,F/C,6,"Porziņģis, Kristaps ",7 ft 3 in (2.21 m),240 lb (109 kg),1995–08–02,Latvia
